context,answer
Welcome back.,Here we go again.
Great to see you and congratulations.,Thank you.
"You will never forget what is going on in the world when you think about when your child is born. You will know for the rest of this child’s life, you were born during a weird time.",That’s for sure.
That is for sure. Probably the weirdest that I can remember.,"Yeah. Yeah, and he was born on May the fourth."
"That’s hilarious, too.",Yeah.
May the fourth be with him.,"Yes, exactly."
It has to be.,Hopefully. I sure hope so.
Perfect.,Yes.
I mean that was the perfect day for you. How do you say the name? Is it placeholder?,"First of all, my partner is the one that actually mostly came up with the name."
Congratulations to her.,"Yeah, yeah. She’s great at names. I mean it’s just X, the letter X, and then the ae is like pronounced ash. Yeah, and then eight, 12 is my contribution."
"Oh, why are eight, 12?","Archangel 12, the precursor to the SR71. Coolest plane ever. True."
"I agree with you. I don’t know, I’m not familiar with it. I know what the SR71 is.","Yeah, yeah, yeah."
"Yeah, I know what that is.",The SR71 came from a CIA program called Archangel. It’s the Archangel project.
"Oh wow, what a dope looking plane.",Yeah.
"Oh, okay. I got it.",Yeah.
"Well, as a person who’s a very much into aerial travel as you are, that’s perfect.",It’s pretty great.
Yeah. Pretty great. Does it feel strange to have a child while this craziness is going? Does it feel like you’ve had children before? Is this any weirder?,"Actually, I think it’s better being older and having a kid. I appreciate it more. Yeah, babies are awesome."
They are pretty awesome.,They’re awesome. Yeah.
"When I didn’t have any of my own, I would see other people’s kids and I didn’t not like them, but I wasn’t drawn to them. But now when I see little people’s kids, I’m like, Oh, I think of them as like these little love packages.","Yeah, little love bugs."
"Yeah. It’s just you think of them differently when you see them come out and then grow and then eventually start talking to you, like your whole idea what a baby is, is very different.",Yeah.
"Now, as you get older and get to appreciate it as a mature, fully formed adult, it must be really pretty wonderful.","Yeah. Great. Wonderful. It’s great. But babies are awesome. Yeah, it’s great. Yeah. Also, I’ve spent a lot of time on AI and neural nets and so you can sort of see the brain develop, which is … An AI neural net is trying to simulate what a brain does, basically. You can sort of see it learning very quickly. You know, it’s just wow."
"You’re talking about the neural net, you’re not talking about an actual baby.",I’m talking about an actual baby.
But both of them.,"Yes, but the word neural net comes from the brain. It’s like a net of neurons. Humans are the original gangster of the neural net."
That’s a great way to put it.,Yeah.
"When you’re programming artificial intelligence where you’re working with artificial intelligence art, are they specifically trying to mimic the developmental process of a human brain?","In a lot of ways. There’s some ways that are different. An analogy that’s often used is like we don’t make a submarine swim like a fish, but we take the principles of hydrodynamics and apply them to the submarine."
"I’ve always wondered as a lay person, do you try to achieve the same results as the human brain but through different methods? Or do you try to copy the way a human brain achieves results?","I mean, the essential elements of an AI neural net are really very similar to a human brain neural net. Yeah. It’s having the multiple layers of neurons and you know, back propagation. All these things are what your brain does. You have a layer of neurons that goes through a series of intermediate steps to ultimately cognition and then it’ll reverse those steps and go back and forth and go all over the place. It’s interesting. Very interesting."
"Yeah, I would imagine. The thought of programming something that is eventually going to be smarter than us that one day it’s going to be like, why did you do it that way? When artificial intelligence becomes sentient, they’re like, Oh, you tried to mimic yourself. This is so much better process. Cut out all this nonsense.","Like I said, there are elements that are the same but just like an aircraft does not fly like a bird."
Right.,"It doesn’t flap its wings, but the wings, the way the wings work and generate lift is the same as a bird."
Now you’re in the middle of this strange time where you’re selling your houses. You say you don’t want any material possessions and I’ve been seeing all that and I’ve been really excited to talk to you about this. Because it’s an interesting thing to come from a guy like yourself. Like why are you doing that?,"I’m slightly sad about it, actually."
"If you’re sad about it, why are you doing it?","I think possessions kind of weigh you down and they’re kind of an attack vector. They’ll say, “Hey, billionaire, you’ve got all this stuff.” Well, now I don’t have stuff now what are you going to do?"
Attack vector meaning like people targeted.,Yeah.
"Interesting, yeah. But you’re obviously going to, so you’re going to rent a place?",Yeah.
"Okay, and get rid of everything except clothes?","No, I said like almost everything, so it’s like …"
Keep a couple of Teslas.,"Kind of have to, to test product and stuff. You know, there’s things that have sentimental value for sure are keeping those."
Do you feel like … [crosstalk 00:06:39],"I mean, what’s the worst that could happen? I mean, you’re fine."
"Yeah, you can always buy more stuff if you don’t like it.",I suppose so.
"Yeah, I mean from the money that you sell all your stuff, you can buy new stuff. Do you feel like people define you by the fact that you’re wealthy and that they define you in a pejorative way?","For sure. I mean not everyone, but for sure in recent years billionaire has become pejorative like that’s a bad thing. Which I think doesn’t make a lot of sense in most cases. If you basically organized a company … How does this wealth arise? If you organize people in a better way to produce products and services that are better than what existed before and you have some ownership in that company then that essentially gives you the right to allocate more capital."
