context,answer
Welcome back.,Here we go again.
Great to see you and congratulations.,Thank you.
"You will never forget what is going on in the world when you think about when your child is born. You will know for the rest of this child’s life, you were born during a weird time.",That’s for sure.
That is for sure. Probably the weirdest that I can remember.,"Yeah. Yeah, and he was born on May the fourth."
"That’s hilarious, too.",Yeah.
May the fourth be with him.,"Yes, exactly."
It has to be.,Hopefully. I sure hope so.
Perfect.,Yes.
"I agree with you. I don’t know, I’m not familiar with it. I know what the SR71 is.","Yeah, yeah, yeah."
"Oh wow, what a dope looking plane.",Yeah.
"Oh, okay. I got it.",Yeah.
"Well, as a person who’s a very much into aerial travel as you are, that’s perfect.",It’s pretty great.
They are pretty awesome.,They’re awesome. Yeah.
"When I didn’t have any of my own, I would see other people’s kids and I didn’t not like them, but I wasn’t drawn to them. But now when I see little people’s kids, I’m like, Oh, I think of them as like these little love packages.","Yeah, little love bugs."
"Yeah. It’s just you think of them differently when you see them come out and then grow and then eventually start talking to you, like your whole idea what a baby is, is very different.",Yeah.
"You’re talking about the neural net, you’re not talking about an actual baby.",I’m talking about an actual baby.
That’s a great way to put it.,Yeah.
Now you’re in the middle of this strange time where you’re selling your houses. You say you don’t want any material possessions and I’ve been seeing all that and I’ve been really excited to talk to you about this. Because it’s an interesting thing to come from a guy like yourself. Like why are you doing that?,"I’m slightly sad about it, actually."
Attack vector meaning like people targeted.,Yeah.
"Interesting, yeah. But you’re obviously going to, so you’re going to rent a place?",Yeah.
"Okay, and get rid of everything except clothes?","No, I said like almost everything, so it’s like …"
"Yeah, you can always buy more stuff if you don’t like it.",I suppose so.
Yeah.,Yeah.
"Yeah. Well, I think that people are kind of learning that particularly because of this whole pandemic and this relationship that we have with China, that there’s a lot of value in making things and to making things here.",Yes. Somebody’s got to do the real work.
Don’t you have Gene Wilder’s house?,I do.
That’s amazing.,It’s awesome.
Wow.,Yes. It’s exactly what you’d expect.
Did you request that the buyer not fuck it up?,"Yeah, that’s a requirement."
"Oh, a requirement? That’s a good requirement.",Yeah.
"Oh, he’s a legend. He’d want his soul, he’d want his essence in the building.",And it’s there.
Is it?,"It’s a real quirky house, yeah."
Did you ever live in it?,"It’s very quirky. I did live in it briefly, yeah."
Yeah.,For sure.
5%? That’s a good chunk.,"It’s a good chunk. Yeah, yeah."
It does sometimes.,"Yeah, yeah."
The old TVs.,It did.
My grandpa used to slap the top.,For sure. Yeah.
"Well, let’s talk about what you can talk about to what Neuralink is cause the last time you were here you really couldn’t discuss it. Then there was, I guess a press release or something that sort of outlined … [crosstalk 00:18:04]","Oh yeah, sure, sure."
Whoa.,"Yeah, maybe slightly better."
Slightly better?,"Over time, yes."
"Right, that’s pretty cheap.",Yeah. Yeah.
$6 billion man.,Yeah.
"Oh yeah, I believe you.","Yeah, you basically implant the device."
"Oh, okay.",Yeah.
"Okay, so you take this one diameter like ice fishing, right? You ever go ice fishing?","No, but I’d like to."
"Through this one inch diameter device, electrodes would be inserted and they will find their way …","Like tiny wires, basically."
Tiny wires.,Tiny wires.
"Oh, okay.","Yeah, you insert …"
They just find the spots?,Yeah.
Would this be replaceable or reversible?,Yeah.
"Like if someone can’t take it anymore? I’m too smart, I can’t take it.","Yeah, you can totally take it out."
"Restoring memory and what is happening that’s allowing it to do that? Like the wires, these small wires are stimulating these areas of the brain. Is it that the areas of the brain are losing some sort of electrical force? What is happening?",Yeah.
A specific frequency will go through this?,Yeah.
Symbiosis is a scary word when it comes to AI.,It’s optional.
I would hope so.,Yeah.
"It’s just, I mean, once you enjoy the Doctor Manhattan lifestyle, once you become a god seems very unlikely you’re going to want to go back to being stupid again. I mean, you literally could fundamentally change the way human beings interface with each other.",Yes.
Yes.,You wouldn’t need to talk.
Glasses.,"Yeah, yeah. Your electronic devices."
Yes. Great movie.,"Yeah, great on."
"There’s an interpretation factor, too. Like you can choose to interpret certain series of words in different ways and they’re dependent upon tone, dependent upon social cues, even facial expressions, sarcasm. There’s a lot of variables.",Sarcasm is difficult.
Yes.,Yeah.
"…from first grade on, how to use some new universal language. I mean essentially like a Rosetta Stone and something that’s done, that interprets your thoughts and you can convey your thoughts with no room for interpretation. With clear, very clear, where you know what a person’s saying and you could tell them what you’re saying. There’s no need for noises, no need for mouth noises.",Yes.
"No need for these accepted ways that we’ve evolved to make sounds that we all agree, through our cultural dictionary, and we agree. We could bypass all that.",You can still do it for sentimental reasons.
Right.,Just download the program.
"Right. So at least for the first iterations, first few iterations. I know that Google has some of their pixel buds have the ability to interpret languages in real time.",Sure.
Yeah. You can hear it and it’ll play things back to you in whatever language you choose. So it’d be something along those lines.,Yeah.
That’s quick. That’s really quick.,That’s the best case scenario.
No talking anymore in five years.,"Best case scenario, but 10 years is more like it."
